Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
1626,3 BHK Ready to Occupy Flat for sale Trimurti Nagar,"One can find this stunning 3 BHK flat for sale in Trimurti Nagar, Nagpur. This flat for resale is the perfect property for you! This ready to move flat located in Trimurti Nagar is available for purchase at a fair price of INR 75 Lac. The flat is available in semi-furnished condition. Significant landmarks in its proximity are near mangalmurti square.",75 Lac ,5357,nagpur,1100 sqft,Ready to Move,3 out of 4,Resale,Semi-Furnished,East,Main Road,,2,2,"1 Covered,",Freehold,,,
1627,2 BHK Ready to Occupy Flat for sale Amravati Road,"This gorgeous 2 BHK Flat is available for sale in Amravati Road, Nagpur. Your hunt for the perfect apartment for resale comes to an end here. This ready to move flat is offered at an economical price of INR 62 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities. The property is strategically placed near prominent places as gurudwara, state bank of india, wadi naka no. 10, centre point school which make for the smooth living of residents.",62 Lac ,5145,nagpur,800 sqft,Ready to Move,4 out of 5,Resale,Unfurnished,East,Garden/Park,,2,2,,Freehold,,,
1628,2 BHK Ready to Occupy Flat for sale Surendra Nagar,"This attractive 2 BHK apartment can be found for sale in Surendra Nagar, Nagpur. This is one of the best properties available for resale. This ready to move flat in Surendra Nagar can be availed at a reasonable price of INR 80 Lac. The flat is semi-furnished and makes for an ideal choice for any family. Some of the landmarks in the vicinity include property close to metro station,collage,school,hospitals,bank,atm,etc..",80 Lac ,7619,nagpur,1000 sqft,Ready to Move,Ground out of 3,Resale,Semi-Furnished,North,Main Road,,2,2,"1 Covered,",Freehold,,,
1629,3 BHK Ready to Occupy Flat for sale Trimurti Nagar,"This attractive 3 BHK apartment can be found for sale in Trimurti Nagar, Nagpur. This is one of the best properties available for sale. This ready to move flat is offered at an economical price of INR 70 Lac. The apartment is semi-furnished.",70 Lac ,5833,nagpur,1100 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,West,"Garden/Park, Main Road",,3,3,,Freehold,,,
1630,3 BHK Ready to Occupy Flat for sale in Royal Homes Wathoda,Discover this immaculate 3 BHK flat for sale at the pristine Wathoda in Nagpur. It is housed in the well-planned Royal Homes township in an advantageous location. This flat for sale is a choice property. This ready to move property in Wathoda is readily available within an affordable cost of INR 49.4 Lac. It is unfurnished to accommodate your needs.,49.4 Lac ,3500,nagpur,,Ready to Move,1 out of 9,New Property,Unfurnished,South,Garden/Park,Royal Homes,3,1,,Freehold,1412 sqft,,
1631,3 BHK Ready to Occupy Flat for sale Panchpaoli,"Panchpaoli, Nagpur has an attractive 3 BHK Flat for sale. Your hunt for the perfect apartment for resale comes to an end here. In Panchpaoli, this ready to move flat is available at an attractive price of INR 65 Lac. You will find it unfurnished.",65 Lac ,4545,nagpur,,Ready to Move,3 out of 4,Resale,Unfurnished,,,,3,2,,,1430 sqft,,
1632,2 BHK Ready to Occupy Flat for sale Manish Nagar,"Up for immediate sale is a 2 BHK apartment in Manish Nagar, Nagpur. Don't miss this bargain flat for sale. This flat for resale is a choice property. This ready to move flat located in Manish Nagar is available for purchase at a fair price of INR 42 Lac. It is a semi-furnished apartment. The property is constructed with proximity to major landmarks like manish nagar..",42 Lac ,4200,nagpur,700 sqft,Ready to Move,2 out of 4,Resale,Semi-Furnished,West,"Garden/Park, Main Road",,2,2,1 Covered,Freehold,,,
1633,2 BHK Ready to Occupy Flat for sale Byramji Town,"Byramji Town, Nagpur has an attractive 2 BHK Flat for sale. This flat is an attractive property for resale. This ready to move flat in Byramji Town comes at an affordable price of INR 55 Lac. The flat is available in semi-furnished condition.",55 Lac ,8088,nagpur,,Ready to Move,Ground out of 3,Resale,Semi-Furnished,,,,2,,,,680 sqft,,
1634,1 BHK Ready to Occupy Flat for sale in Gandhi Saket Dham Takli,"Takli, Nagpur has an appealing 1 BHK flat for sale with various amenities. Located in the Gandhi Saket Dham township, the flat enjoys access to the prime spots in the city. This flat for resale is a choice property. This ready to move flat in Takli comes at an affordable price of INR 16 Lac. This immaculate flat boasts of coming in unfurnished form which takes the entire deal to the next level. Some neighbouring landmarks are rachna metro station.",16 Lac ,,nagpur,380 sqft,Ready to Move,3 out of 4,Resale,Unfurnished,,,Gandhi Saket Dham,1,1,,Freehold,,,
1635,2 BHK Ready to Occupy Flat for sale in Green City Besa,"2 BHK flat available for sale in Nagpur in the prime location of Besa. It is in a prime location within the Green City. This flat is available as a resale property. Available at a reasonable selling price of INR 20 Lac, this ready to move apartment in Besa is a great buy. The flat is unfurnished and makes for an ideal choice for any family.",20 Lac ,2770,nagpur,,Ready to Move,4 out of 4,Resale,Unfurnished,,,Green City,1,1,,,722 sqft,,
